Model,CV Mean,CV Std,Test Accuracy,F1 Score
LDA,0.6385416666666667,0.010206207261596607,0.65,0.7777777777777778
SVM (Linear),0.65,0.002083333333333304,0.65,0.7878787878787878
Logistic Regression,0.6375,0.012586506222494359,0.6458333333333334,0.7757255936675461
AdaBoost,0.6354166666666666,0.023058274605394453,0.6458333333333334,0.7683923705722071
Random Forest,0.6260416666666667,0.016601434844280425,0.6416666666666667,0.7675675675675676
Gradient Boosting,0.6208333333333333,0.014877975892797598,0.6375,0.7576601671309192
Extra Trees,0.6499999999999999,0.02407129168394031,0.6375,0.7642276422764228
SVM (RBF),0.6552083333333334,0.013740527039867655,0.6291666666666667,0.7676240208877284
SVM (Poly),0.640625,0.01092509216843906,0.6208333333333333,0.7586206896551724
Naive Bayes,0.6260416666666667,0.02315219871968008,0.6208333333333333,0.7331378299120235
HistGradientBoosting,0.6072916666666667,0.023431712248337476,0.6,0.7192982456140351
XGBoost,0.5854166666666667,0.03237556305816676,0.5833333333333334,0.7076023391812866
KNN (k=10),0.6166666666666667,0.014950729265007625,0.5791666666666667,0.7020648967551623
MLP (medium),0.5885416666666667,0.02852721653672743,0.575,0.6927710843373494
MLP (large),0.575,0.02046550281707136,0.5666666666666667,0.6729559748427673
Decision Tree,0.5635416666666667,0.012058163440406475,0.5416666666666666,0.6474358974358975
MLP (small),0.5770833333333333,0.02916666666666666,0.5375,0.6498422712933754
KNN (k=5),0.6145833333333333,0.03726779962499649,0.5291666666666667,0.6686217008797654
QDA,0.5208333333333334,0.04623404379410864,0.5291666666666667,0.5830258302583026
