height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good,cluster,archetype
189.9,81.9,33,10,32.6,2,28.4,62.9,0,1,0,1,0,0,1,1,1,1,"Powerhouse Hero (Rebel, Protector)"
177.2,73.6,58,22,41.9,2,67.3,41.4,0,0,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
193.0,81.8,47,6,22.3,0,95.9,96.8,0,1,0,0,0,1,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
210.5,88.1,62,26,25.0,4,71.8,53.2,1,0,0,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
175.3,80.7,43,28,24.9,3,81.3,36.1,0,0,0,1,1,1,1,1,0,0,"Operative Hero (Rebel, Protector)"
175.3,80.6,40,14,22.0,1,71.5,77.8,0,0,0,0,1,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
211.6,69.5,23,5,26.5,2,60.0,99.9,0,0,1,0,0,0,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
195.3,70.1,41,19,37.7,0,36.4,78.3,0,0,0,0,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
170.6,59.0,59,26,19.5,0,73.1,69.1,0,0,0,0,0,0,1,0,0,0,"Operative Hero (Rebel, Protector)"
190.9,106.2,38,8,34.3,0,58.4,73.2,0,0,1,0,0,1,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
170.7,61.3,53,21,13.0,0,58.0,93.3,0,0,1,0,0,0,0,0,0,0,"Operative Hero (Rebel, Protector)"
170.7,69.6,43,19,24.4,1,62.5,47.5,0,1,1,0,0,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
184.8,69.2,41,11,26.7,1,96.2,62.8,1,0,0,0,1,0,0,0,0,1,"Powerhouse Hero (Rebel, Protector)"
150.0,93.4,27,18,46.7,1,100.0,55.9,0,0,0,0,0,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
150.0,75.6,46,19,27.3,1,73.3,41.6,1,0,0,0,0,1,1,1,1,0,"Operative Hero (Rebel, Protector)"
168.8,98.7,18,2,8.0,1,63.0,58.4,0,0,1,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
159.7,69.9,39,14,10.0,0,52.3,87.2,0,0,1,0,1,0,1,1,1,1,"Powerhouse Hero (Rebel, Protector)"
186.3,84.2,20,1,30.3,2,77.0,76.3,1,1,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
161.8,67.5,61,29,36.1,1,96.7,77.9,0,1,0,0,1,0,0,1,1,0,"Operative Hero (Rebel, Protector)"
151.8,112.2,55,20,33.8,1,66.3,67.9,1,0,1,1,1,1,0,0,0,0,"Operative Hero (Rebel, Protector)"
209.3,62.2,40,1,31.7,4,34.3,75.5,1,0,0,0,1,1,0,1,1,1,"Powerhouse Hero (Rebel, Protector)"
175.5,84.6,59,21,41.6,3,80.1,49.0,0,0,0,1,1,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
181.4,89.5,28,2,24.6,4,84.8,58.8,0,1,0,0,0,0,1,0,1,1,"Powerhouse Hero (Rebel, Protector)"
151.5,86.2,55,5,38.9,1,46.2,68.8,0,0,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
169.1,77.2,52,14,13.7,0,72.6,70.6,1,0,1,0,0,0,1,1,1,1,"Powerhouse Hero (Rebel, Protector)"
182.2,78.1,45,26,21.0,2,76.8,71.4,1,1,0,0,0,0,1,0,1,0,"Operative Hero (Rebel, Protector)"
157.0,80.7,50,9,11.9,0,68.9,62.2,0,1,0,1,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
187.5,77.8,28,8,27.3,1,58.1,57.5,0,1,0,1,0,1,1,1,1,1,"Powerhouse Hero (Rebel, Protector)"
168.0,94.5,27,0,29.5,0,85.2,100.0,0,1,0,1,0,0,1,0,0,1,"Powerhouse Hero (Rebel, Protector)"
174.2,113.2,37,15,31.1,3,63.9,83.1,0,1,0,0,1,1,0,0,1,0,"Operative Hero (Rebel, Protector)"
168.0,71.6,32,5,30.6,0,47.7,73.3,0,0,0,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
217.0,59.5,25,8,20.7,5,39.3,60.3,0,0,0,0,0,0,0,1,1,2,"Operative Hero (Disciplined, Ruthless)"
179.7,78.7,59,26,28.1,4,88.9,56.0,0,1,0,0,1,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
158.8,118.7,35,3,15.0,1,79.2,62.4,0,0,1,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
196.5,67.9,51,26,43.6,3,71.3,70.9,1,1,0,1,1,0,0,1,0,0,"Operative Hero (Rebel, Protector)"
155.6,104.6,42,27,27.0,2,63.4,27.4,1,0,0,1,1,1,0,1,1,0,"Operative Hero (Rebel, Protector)"
184.2,105.2,19,1,25.1,3,62.1,33.6,1,0,1,0,0,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
150.0,71.7,50,28,45.9,1,53.9,52.3,1,0,0,0,0,1,0,1,0,0,"Operative Hero (Rebel, Protector)"
153.4,88.5,18,3,17.6,3,63.5,69.1,0,0,1,0,0,1,0,1,0,1,"Powerhouse Hero (Rebel, Protector)"
183.9,104.4,34,0,18.7,1,38.2,60.2,0,0,0,0,1,0,0,0,1,1,"Powerhouse Hero (Rebel, Protector)"
194.8,74.3,29,18,19.0,6,59.0,94.6,0,1,1,0,0,1,0,1,0,2,"Operative Hero (Disciplined, Ruthless)"
183.4,76.9,65,25,29.3,1,65.3,35.4,1,0,1,1,0,0,0,0,1,0,"Operative Hero (Rebel, Protector)"
