height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good,total_powers,power_efficiency,training_intensity,casualty_rate,approval_power_ratio,bmi,experience_score,kmeans_cluster
189.9,81.9,33,10,32.6,2,28.4,62.9,0,1,0,1,0,0,1,1,1,4,2.5818181818181816,0.9588235294117647,0.18181818181818182,2.1394557823129254,22.71088050832441,326.0,1
177.2,73.6,58,22,41.9,2,67.3,41.4,0,0,0,0,0,0,1,0,1,1,2.926086956521739,0.7101694915254237,0.08695652173913043,0.6061493411420205,23.43960988336247,921.8,1
193.0,81.8,47,6,22.3,0,95.9,96.8,0,1,0,0,0,1,1,0,0,3,13.700000000000001,0.46458333333333335,0.0,0.9989680082559339,21.960321082445166,133.8,0
210.5,88.1,62,26,25.0,4,71.8,53.2,1,0,0,1,0,0,0,0,1,2,2.659259259259259,0.3968253968253968,0.14814814814814814,0.7307692307692308,19.88253282254106,650.0,1
175.3,80.7,43,28,24.9,3,81.3,36.1,0,0,0,1,1,1,1,1,0,5,2.8034482758620687,0.5659090909090909,0.10344827586206896,0.4386391251518834,26.260905841798703,697.1999999999999,1
175.3,80.6,40,14,22.0,1,71.5,77.8,0,0,0,0,1,1,0,1,0,3,4.766666666666667,0.5365853658536586,0.06666666666666667,1.0731034482758621,26.228364446703537,308.0,1
211.6,69.5,23,5,26.5,2,60.0,99.9,0,0,1,0,0,0,0,1,0,2,10.0,1.1041666666666667,0.3333333333333333,1.637704918032787,15.522207253404611,132.5,0
195.3,70.1,41,19,37.7,0,36.4,78.3,0,0,0,0,0,0,0,0,1,0,1.8199999999999998,0.8976190476190476,0.0,2.093582887700535,18.378646791510374,716.3000000000001,1
170.6,59.0,59,26,19.5,0,73.1,69.1,0,0,0,0,0,0,1,0,0,1,2.7074074074074073,0.325,0.0,0.9325236167341431,20.271876790968776,507.0,1
190.9,106.2,38,8,34.3,0,58.4,73.2,0,0,1,0,0,1,0,1,1,3,6.488888888888889,0.8794871794871794,0.0,1.2323232323232325,29.141550829916792,274.4,0
170.7,61.3,53,21,13.0,0,58.0,93.3,0,0,1,0,0,0,0,0,0,1,2.6363636363636362,0.24074074074074073,0.0,1.5813559322033899,21.037466251682915,273.0,1
170.7,69.6,43,19,24.4,1,62.5,47.5,0,1,1,0,0,0,0,1,1,3,3.125,0.5545454545454546,0.05,0.7480314960629921,23.885932318387127,463.59999999999997,1
184.8,69.2,41,11,26.7,1,96.2,62.8,1,0,0,0,1,0,0,0,0,2,8.016666666666667,0.6357142857142857,0.08333333333333333,0.6460905349794238,20.26292610708195,293.7,0
150.0,93.4,27,18,46.7,1,100.0,55.9,0,0,0,0,0,1,0,0,0,1,5.2631578947368425,1.667857142857143,0.05263157894736842,0.5534653465346534,41.51111111111111,840.6,1
150.0,75.6,46,19,27.3,1,73.3,41.6,1,0,0,0,0,1,1,1,1,4,3.665,0.5808510638297872,0.05,0.559892328398385,33.599999999999994,518.7,1
168.8,98.7,18,2,8.0,1,63.0,58.4,0,0,1,0,0,0,1,0,1,2,21.0,0.42105263157894735,0.3333333333333333,0.9125,34.63955212147076,16.0,0
159.7,69.9,39,14,10.0,0,52.3,87.2,0,0,1,0,1,0,1,1,1,4,3.4866666666666664,0.25,0.0,1.6360225140712947,27.40736877888998,140.0,1
186.3,84.2,20,1,30.3,2,77.0,76.3,1,1,0,0,0,0,0,0,1,2,38.5,1.4428571428571428,1.0,0.9782051282051282,24.25975338606516,30.3,0
161.8,67.5,61,29,36.1,1,96.7,77.9,0,1,0,0,1,0,0,1,1,3,3.2233333333333336,0.582258064516129,0.03333333333333333,0.797338792221085,25.783788986998854,1046.9,1
151.8,112.2,55,20,33.8,1,66.3,67.9,1,0,1,1,1,1,0,0,0,5,3.157142857142857,0.6035714285714285,0.047619047619047616,1.008915304606241,48.69106948502033,676.0,1
209.3,62.2,40,1,31.7,4,34.3,75.5,1,0,0,0,1,1,0,1,1,4,17.15,0.7731707317073171,2.0,2.1388101983002836,14.198809354504322,31.7,0
175.5,84.6,59,21,41.6,3,80.1,49.0,0,0,0,1,1,1,0,0,1,3,3.6409090909090907,0.6933333333333334,0.13636363636363635,0.6041923551171394,27.467309518591573,873.6,1
181.4,89.5,28,2,24.6,4,84.8,58.8,0,1,0,0,0,0,1,0,1,2,28.266666666666666,0.8482758620689655,1.3333333333333333,0.6853146853146853,27.19872023183642,49.2,0
151.5,86.2,55,5,38.9,1,46.2,68.8,0,0,0,0,0,0,0,0,1,0,7.7,0.6946428571428571,0.16666666666666666,1.4576271186440677,37.55623087061182,194.5,0
169.1,77.2,52,14,13.7,0,72.6,70.6,1,0,1,0,0,0,1,1,1,4,4.84,0.25849056603773585,0.0,0.9592391304347826,26.997906263409348,191.79999999999998,1
182.2,78.1,45,26,21.0,2,76.8,71.4,1,1,0,0,0,0,1,0,1,3,2.8444444444444446,0.45652173913043476,0.07407407407407407,0.9177377892030849,23.526335639175297,546.0,1
157.0,80.7,50,9,11.9,0,68.9,62.2,0,1,0,1,0,0,0,0,1,2,6.890000000000001,0.23333333333333334,0.0,0.8898426323319026,32.73966489512759,107.10000000000001,0
187.5,77.8,28,8,27.3,1,58.1,57.5,0,1,0,1,0,1,1,1,1,5,6.455555555555556,0.9413793103448276,0.1111111111111111,0.9729272419627749,22.129777777777775,218.4,1
168.0,94.5,27,0,29.5,0,85.2,100.0,0,1,0,1,0,0,1,0,0,3,85.2,1.0535714285714286,0.0,1.160092807424594,33.48214285714286,0.0,0
174.2,113.2,37,15,31.1,3,63.9,83.1,0,1,0,0,1,1,0,0,1,3,3.99375,0.8184210526315789,0.1875,1.2804314329738056,37.303546736862366,466.5,1
168.0,71.6,32,5,30.6,0,47.7,73.3,0,0,0,0,0,0,0,0,1,0,7.95,0.9272727272727274,0.0,1.5051334702258725,25.368480725623584,153.0,0
217.0,59.5,25,8,20.7,5,39.3,60.3,0,0,0,0,0,0,0,1,1,1,4.366666666666666,0.7961538461538461,0.5555555555555556,1.4962779156327544,12.635647391110451,165.6,1
179.7,78.7,59,26,28.1,4,88.9,56.0,0,1,0,0,1,0,0,0,1,2,3.2925925925925927,0.4683333333333334,0.14814814814814814,0.6229143492769744,24.371293403431,730.6,1
158.8,118.7,35,3,15.0,1,79.2,62.4,0,0,1,0,0,0,0,0,1,1,19.8,0.4166666666666667,0.25,0.7780548628428927,47.07059876022308,45.0,0
196.5,67.9,51,26,43.6,3,71.3,70.9,1,1,0,1,1,0,0,1,0,5,2.640740740740741,0.8384615384615385,0.1111111111111111,0.9806362378976488,17.58509281380909,1133.6000000000001,1
155.6,104.6,42,27,27.0,2,63.4,27.4,1,0,0,1,1,1,0,1,1,5,2.2642857142857142,0.627906976744186,0.07142857142857142,0.4254658385093167,43.202860144989785,729.0,1
184.2,105.2,19,1,25.1,3,62.1,33.6,1,0,1,0,0,0,0,0,1,2,31.05,1.2550000000000001,1.5,0.5324881141045958,31.005339284472225,25.1,0
150.0,71.7,50,28,45.9,1,53.9,52.3,1,0,0,0,0,1,0,1,0,3,1.8586206896551725,0.9,0.034482758620689655,0.9526411657559198,31.866666666666667,1285.2,1
153.4,88.5,18,3,17.6,3,63.5,69.1,0,0,1,0,0,1,0,1,0,3,15.875,0.9263157894736843,0.75,1.0713178294573642,37.60906629224751,52.800000000000004,0
183.9,104.4,34,0,18.7,1,38.2,60.2,0,0,0,0,1,0,0,0,1,1,38.2,0.5342857142857143,1.0,1.5357142857142856,30.870029193467268,0.0,0
194.8,74.3,29,18,19.0,6,59.0,94.6,0,1,1,0,0,1,0,1,0,4,3.1052631578947367,0.6333333333333333,0.3157894736842105,1.5766666666666667,19.5799198040216,342.0,1
183.4,76.9,65,25,29.3,1,65.3,35.4,1,0,1,1,0,0,0,0,1,3,2.5115384615384615,0.44393939393939397,0.038461538461538464,0.5339366515837104,22.8627083955195,732.5,1
177.7,71.3,56,24,34.3,1,79.1,50.0,1,1,0,0,1,1,1,0,0,5,3.1639999999999997,0.6017543859649123,0.04,0.6242197253433209,22.57951838172307,823.1999999999999,1
174.0,64.8,42,9,37.4,3,69.4,95.4,1,0,1,0,0,0,0,0,1,2,6.94,0.8697674418604651,0.3,1.3551136363636362,21.40309155766944,336.59999999999997,0
150.4,70.3,58,20,55.7,3,81.9,67.6,1,0,1,0,1,0,0,0,1,3,3.9000000000000004,0.9440677966101695,0.14285714285714285,0.8154402895054281,31.07847159348121,1114.0,1
165.6,61.6,34,14,7.5,2,90.2,82.7,0,0,0,0,1,0,0,0,1,1,6.013333333333334,0.21428571428571427,0.13333333333333333,0.9067982456140351,22.462601227566573,105.0,1
170.8,80.5,57,26,36.1,0,85.9,100.0,0,0,0,1,1,0,0,1,1,3,3.1814814814814816,0.6224137931034484,0.0,1.1507479861910241,27.59434867739086,938.6,1
201.1,68.5,47,21,24.4,1,77.1,51.1,0,1,0,0,1,1,0,0,1,3,3.5045454545454544,0.5083333333333333,0.045454545454545456,0.6542893725992318,16.938167774900897,512.4,1
186.9,83.5,47,18,24.1,7,70.2,63.0,0,1,1,1,0,1,0,0,0,4,3.694736842105263,0.5020833333333333,0.3684210526315789,0.8848314606741573,23.903850981961607,433.8,1
150.0,56.7,54,15,23.8,3,55.3,59.6,0,1,0,0,1,1,1,0,0,4,3.45625,0.43272727272727274,0.1875,1.0586145648312613,25.200000000000003,357.0,1
186.5,85.0,51,20,20.9,3,81.1,25.9,0,1,0,1,0,0,1,1,1,4,3.8619047619047615,0.4019230769230769,0.14285714285714285,0.315468940316687,24.437752014317645,418.0,1
172.3,92.5,50,26,46.8,0,95.2,58.8,0,0,0,0,0,0,0,0,1,0,3.525925925925926,0.9176470588235294,0.0,0.6112266112266111,31.158115139509196,1216.8,1
166.5,50.1,29,23,38.4,1,75.1,82.6,0,1,0,0,0,0,1,0,1,2,3.1291666666666664,1.28,0.041666666666666664,1.0854139290407359,18.07212618023429,883.1999999999999,1
192.2,85.6,37,21,30.2,2,98.8,75.8,0,1,0,1,1,0,0,0,1,3,4.490909090909091,0.7947368421052632,0.09090909090909091,0.7595190380761523,23.17218558105338,634.1999999999999,1
200.6,98.4,40,3,43.5,4,47.1,77.4,0,1,0,1,1,0,1,1,1,5,11.775,1.0609756097560976,1.0,1.6091476091476091,24.453061553127267,130.5,0
198.6,61.9,35,1,14.9,0,52.7,57.5,0,0,1,1,1,0,0,0,1,3,26.35,0.4138888888888889,0.0,1.0707635009310987,15.693946244050752,14.9,0
163.2,105.1,37,29,16.7,4,82.8,51.9,0,1,0,0,0,0,0,1,1,2,2.76,0.4394736842105263,0.13333333333333333,0.6193317422434368,39.46048394848136,484.29999999999995,1
173.8,86.3,71,24,8.2,2,74.0,90.4,0,0,0,1,1,0,0,0,0,2,2.96,0.11388888888888887,0.08,1.2053333333333334,28.570066515617192,196.79999999999998,1
186.6,69.4,57,12,23.0,0,89.7,55.1,1,1,0,1,1,0,0,0,1,4,6.9,0.39655172413793105,0.0,0.6074972436604189,19.931325955870786,276.0,1
199.5,79.2,55,27,31.6,1,69.8,70.9,0,0,0,0,0,0,1,0,1,1,2.492857142857143,0.5642857142857143,0.03571428571428571,1.0014124293785311,19.899372491378823,853.2,1
170.4,88.4,38,0,31.0,1,57.0,68.3,0,0,0,1,0,1,0,1,1,3,57.0,0.7948717948717948,1.0,1.1775862068965517,30.444797108157555,0.0,0
176.3,81.1,36,16,31.5,2,66.8,94.2,1,0,0,0,0,0,0,0,1,1,3.929411764705882,0.8513513513513513,0.11764705882352941,1.3893805309734515,26.092532291519532,504.0,1
157.9,88.1,27,12,15.9,0,47.0,84.4,1,0,0,0,0,1,0,0,1,2,3.6153846153846154,0.5678571428571428,0.0,1.7583333333333335,35.33553314741736,190.8,1
156.1,66.2,36,3,38.0,0,53.1,39.1,1,0,0,0,0,0,0,0,1,1,13.275,1.027027027027027,0.0,0.722735674676525,27.16765686346529,114.0,0
196.3,82.5,43,6,32.4,3,84.6,41.2,0,1,0,1,0,1,0,0,1,3,12.085714285714285,0.7363636363636363,0.42857142857142855,0.4813084112149533,21.409836431444795,194.39999999999998,0
207.1,58.8,27,16,37.3,0,83.1,76.6,0,0,0,0,0,0,1,0,1,1,4.888235294117647,1.332142857142857,0.0,0.9108204518430439,13.709358339078598,596.8,1
178.6,78.3,36,8,11.1,1,75.4,63.7,0,0,1,0,0,0,1,1,1,3,8.377777777777778,0.3,0.1111111111111111,0.8337696335078534,24.547024323812554,88.8,0
200.1,66.4,36,3,33.1,1,44.2,55.9,0,0,0,0,0,0,0,0,0,0,11.05,0.8945945945945947,0.25,1.236725663716814,16.583412441705185,99.30000000000001,0
187.2,69.0,25,18,18.1,1,64.6,85.3,1,0,1,0,0,1,0,0,0,3,3.4,0.6961538461538462,0.05263157894736842,1.3003048780487805,19.689623055007672,325.8,1
167.1,98.5,24,0,26.0,3,51.6,68.7,0,0,1,0,1,0,0,0,0,2,51.6,1.04,3.0,1.306083650190114,35.27632464389714,0.0,0
187.2,96.4,33,9,35.3,1,87.6,66.0,0,0,0,0,0,0,1,0,1,1,8.76,1.038235294117647,0.1,0.744920993227991,27.508400905836808,317.7,0
210.8,89.1,53,3,30.9,3,61.2,80.6,0,0,1,1,0,1,1,0,1,4,15.3,0.5722222222222222,0.75,1.2958199356913183,20.051020959280446,92.69999999999999,0
179.3,63.6,45,8,21.5,2,53.7,57.5,0,0,0,1,0,0,0,0,0,1,5.966666666666667,0.4673913043478261,0.2222222222222222,1.0511882998171846,19.783199770813493,172.0,1
211.3,75.3,26,12,30.1,0,70.4,96.4,0,0,0,1,0,0,1,1,0,3,5.415384615384616,1.114814814814815,0.0,1.3501400560224088,16.86537422204822,361.20000000000005,1
150.0,98.2,47,13,14.7,0,60.4,49.2,1,0,0,1,1,0,0,0,1,3,4.314285714285714,0.30624999999999997,0.0,0.8013029315960912,43.644444444444446,191.1,1
196.4,82.1,18,9,41.5,1,92.3,78.1,1,0,1,0,0,0,0,1,0,3,9.23,2.1842105263157894,0.1,0.8370846730975348,21.28434011805161,373.5,0
181.7,114.8,47,5,27.9,1,59.0,93.7,1,1,0,0,0,0,1,0,1,3,9.833333333333334,0.5812499999999999,0.16666666666666666,1.5616666666666668,34.77218915465113,139.5,0
174.0,85.9,36,15,41.2,3,49.0,37.5,0,0,1,0,1,0,0,0,1,2,3.0625,1.1135135135135137,0.1875,0.75,28.372308098824153,618.0,1
181.8,82.9,36,5,24.7,2,37.7,58.1,0,0,0,0,0,1,0,1,1,2,6.283333333333334,0.6675675675675675,0.3333333333333333,1.5012919896640826,25.082266202417824,123.5,0
150.0,75.4,55,16,24.8,1,69.5,87.8,0,0,1,1,0,1,0,1,0,4,4.088235294117647,0.4428571428571429,0.058823529411764705,1.2453900709219858,33.51111111111111,396.8,1
175.6,82.0,28,9,22.4,0,61.6,88.1,0,0,0,0,0,0,0,0,0,0,6.16,0.7724137931034483,0.0,1.4073482428115014,26.592846653971286,201.6,0
187.1,77.7,26,17,38.8,1,48.6,61.6,1,0,0,1,0,0,0,0,1,2,2.7,1.437037037037037,0.05555555555555555,1.2419354838709677,22.19593497305208,659.5999999999999,1
209.6,90.6,42,26,22.9,2,87.8,50.3,0,0,0,0,1,1,1,0,1,3,3.2518518518518515,0.5325581395348837,0.07407407407407407,0.5664414414414414,20.622705553289432,595.4,1
169.6,94.4,57,21,36.4,1,80.0,84.1,1,0,0,1,0,1,0,0,1,3,3.6363636363636362,0.6275862068965516,0.045454545454545456,1.0382716049382716,32.8186187255251,764.4,1
163.8,68.2,32,17,26.2,1,69.6,88.7,0,0,0,0,1,1,1,0,1,3,3.8666666666666663,0.793939393939394,0.05555555555555555,1.256373937677054,25.418889887754357,445.4,1
170.0,60.0,18,2,10.2,0,90.5,41.7,0,0,1,0,1,0,0,1,0,3,30.166666666666668,0.5368421052631579,0.0,0.45573770491803284,20.761245674740486,20.4,0
198.3,52.5,41,19,24.3,2,79.9,40.9,0,0,0,1,0,1,0,0,1,2,3.995,0.5785714285714286,0.1,0.5055624227441285,13.35100243140827,461.7,1
186.6,87.6,50,26,18.2,4,57.7,69.5,0,1,1,0,0,1,1,0,0,4,2.1370370370370373,0.3568627450980392,0.14814814814814814,1.1839863713798977,25.158273108563122,473.2,1
169.4,63.4,52,20,30.3,1,54.4,77.6,1,0,0,1,0,0,0,0,1,2,2.5904761904761906,0.5716981132075472,0.047619047619047616,1.4007220216606497,22.093394423543614,606.0,1
190.3,47.7,44,24,18.1,1,82.3,59.0,0,0,1,0,0,0,0,0,0,1,3.292,0.40222222222222226,0.04,0.7082833133253301,13.17166881730288,434.40000000000003,1
181.9,85.8,44,27,39.3,7,75.9,78.6,1,1,0,0,0,0,0,0,0,2,2.710714285714286,0.8733333333333333,0.25,1.0221066319895968,25.931156707903657,1061.1,1
199.4,117.4,56,14,29.1,1,72.5,50.8,1,1,0,1,0,0,0,0,0,3,4.833333333333333,0.5105263157894737,0.06666666666666667,0.6911564625850339,29.526895631729694,407.40000000000003,1
166.0,79.9,21,14,28.2,2,57.3,22.7,0,0,1,0,0,1,0,1,0,3,3.82,1.2818181818181817,0.13333333333333333,0.3893653516295026,28.99550007257948,394.8,1
173.4,92.6,34,3,36.6,0,79.1,56.5,1,1,0,1,1,1,1,0,1,6,19.775,1.0457142857142858,0.0,0.7053682896379526,30.797311122019877,109.80000000000001,0
172.2,81.2,55,28,39.6,2,58.7,66.3,0,0,0,0,0,1,1,1,0,3,2.024137931034483,0.7071428571428572,0.06896551724137931,1.1105527638190953,27.38354909681501,1108.8,1
150.7,78.5,53,26,29.8,0,68.5,59.5,0,0,0,0,0,1,0,0,1,1,2.537037037037037,0.5518518518518518,0.0,0.8561151079136691,34.565524565960494,774.8000000000001,1
185.9,93.8,34,8,22.3,6,91.7,41.8,1,0,0,0,1,0,1,1,1,4,10.18888888888889,0.6371428571428571,0.6666666666666666,0.4509169363538295,27.14213828543286,178.4,0
185.2,75.6,48,26,12.3,3,60.1,28.7,1,0,0,0,0,0,1,1,0,3,2.225925925925926,0.2510204081632653,0.1111111111111111,0.469721767594108,22.04143322961809,319.8,1
180.1,84.0,19,25,23.1,3,46.4,54.7,0,0,1,0,0,1,1,1,0,4,1.7846153846153845,1.155,0.11538461538461539,1.1540084388185654,25.897143329281253,577.5,1
175.3,84.8,40,18,23.8,2,54.2,83.0,0,0,0,0,0,0,0,1,1,1,2.8526315789473684,0.5804878048780489,0.10526315789473684,1.5036231884057971,27.595103040700494,428.40000000000003,1
151.7,70.0,50,23,31.1,2,84.9,90.1,0,0,0,0,0,0,0,0,1,0,3.5375,0.6098039215686275,0.08333333333333333,1.048894062863795,30.41773545174031,715.3000000000001,1
171.6,94.9,40,27,26.5,1,73.8,88.8,0,0,0,0,0,0,0,1,0,1,2.6357142857142857,0.6463414634146342,0.03571428571428571,1.1871657754010696,32.22787313696405,715.5,1
173.1,77.4,40,16,36.9,4,68.1,48.7,0,0,0,0,0,0,0,1,0,1,4.0058823529411764,0.8999999999999999,0.23529411764705882,0.7047756874095514,25.831333407423212,590.4,1
164.0,68.7,42,10,23.9,6,62.4,41.9,1,0,0,0,0,0,0,0,0,1,5.672727272727273,0.555813953488372,0.5454545454545454,0.6608832807570978,25.542831647828677,239.0,1
176.8,88.0,46,24,29.4,1,77.3,74.9,0,0,1,0,1,0,0,0,0,2,3.092,0.625531914893617,0.04,0.9565772669220947,28.15257672856821,705.5999999999999,1
188.1,66.5,40,8,41.8,5,57.3,77.7,0,0,1,0,0,0,0,0,1,1,6.366666666666666,1.0195121951219512,0.5555555555555556,1.332761578044597,18.795074616446225,334.4,1
